publishedsince_days,brand,model,Price,year,KMs,Engine,Gear,Color,warranty_months,type of ad,rechargeable,battery_capacity_km,engine_power_kW,battery_volts_V,battery_intensity_A
60,CITROEN,     C3 (2E GENERATION),8120,2016,91291,Petrol,mechanic,grisshark,3,Professional,,,,,
47,CITROEN,     C3 ENTREPRISE (2E GENERATION),8100,2017,130103,Diesel,mechanic,gris,0,Professional,,,,,
60,FORD,     KA 2,8030,2014,85593,Petrol,mechanic,gris,3,Professional,,,,,
10,VOLVO,     XC90 (2E GENERATION),79680,2021,32159,Petrol-electric hybrid,automatic,bleumarinemetal,12,Professional,yes,,287.0,400.0,
52,ASTON MARTIN,     VANTAGE 2 ROADSTER,79440,2010,87580,Petrol,automatic,noir,6,Professional,,,,,
11,CHEVROLET,     CAMARO 6 CABRIOLET,78620,2019,16506,Petrol,automatic,grismetal,12,Professional,,,,,
32,FORD,     MUSTANG COUPE,78000,1966,86800,Petrol,automatic,rouge,0,Professional,,,,,
60,BMW,     SERIE 4 F82 M4,77850,2018,27120,Petrol,automatic,blancverni,6,Professional,,,331.0,,
9,LAND ROVER,     RANGE ROVER SPORT 2,76750,2019,82956,Diesel,automatic,santoriniblack,12,Professional,,,,,
59,LAND ROVER,     RANGE ROVER VELAR,76680,2019,106800,Petrol,automatic,noirmetal,6,Professional,,,279.0,,
27,PORSCHE,     911 TYPE 997,76290,2012,72691,Petrol,automatic,gris,6,Professional,,,,,
60,MERCEDES,     CLASSE C 4 AMG,76190,2018,30738,Petrol,automatic,grismetal,12,Professional,,,375.0,,
12,PORSCHE,     MACAN,75690,2017,43267,Diesel,automatic,gris,6,Professional,,,,,
24,JAGUAR,     F-TYPE,75580,2019,27809,Petrol,automatic,noir,12,Professional,,,,,
26,BMW,     SERIE 4 F82 M4,75400,2018,72334,Petrol,automatic,gris,0,Professional,,,,,
60,BMW,     X3 G01,74690,2022,5501,Diesel,automatic,blanc,0,Professional,,,,,
60,CHEVROLET,     CORVETTE C7 STINGRAY TARGA,74410,2016,33131,Petrol,mechanic,grismetal,12,Professional,,,343.0,,
37,LAND ROVER,     RANGE ROVER EVOQUE 2,74270,2021,57010,Petrol-electric hybrid,automatic,grisanthracitemetal,24,Professional,yes,,227.0,307.0,48.8
60,PORSCHE,     MACAN,74180,2018,38812,Petrol,automatic,noirmetal,6,Professional,,,250.0,,
9,BMW,     X3 G01,73610,2020,33250,Diesel,automatic,noir,12,Professional,,,,,
21,MERCEDES,     GLE 2,73550,2020,62038,Petrol,automatic,blanc,12,Professional,,,,,
25,AUDI,     RS6 (3E GENERATION) AVANT,73320,2017,85212,Petrol,automatic,noirmetal,6,Professional,,,412.0,,
3,PORSCHE,     911 TYPE 997,73060,2012,117920,Petrol,automatic,rougemetal,12,Professional,,,,,
32,LAND ROVER,     DISCOVERY SPORT,72960,2022,10440,Diesel,automatic,grismetal,24,Professional,,,132.0,,
25,MASERATI,     LEVANTE,72910,2018,54489,Petrol,automatic,noirmetal,6,Professional,,,316.0,,
60,PORSCHE,     MACAN,72490,2018,42790,Petrol,automatic,grisquartzmã©tallisã©,6,Professional,,,250.0,,
15,PORSCHE,     718 CAYMAN,71980,2018,29400,Petrol,automatic,blancmetal,0,Professional,,,220.0,,
60,DODGE,     RAM,71970,2022,21,Petrol,automatic,blancverni,24,Professional,,,295.0,,
50,VOLVO,     S60 (3E GENERATION),71560,2022,11,Petrol-electric hybrid,automatic,blanccristalmã©tallisã©,24,Professional,yes,,,,
60,CHEVROLET,     CAMARO 6,71300,2019,46364,Petrol,automatic,noirmetal,12,Professional,,,,,
60,VOLKSWAGEN,     GOLF 8 GTI,71120,2022,938,Petrol,automatic,noirmetal,36,Professional,,,221.0,,
60,BMW,     X3 G01,70910,2022,4282,Diesel,automatic,noir,0,Professional,,,,,
4,AUDI,     RS3 (2E GENERATION) SPORTBACK,70680,2019,72000,Petrol,automatic,gris,12,Professional,,,,,
60,CHEVROLET,     CAMARO 6,70090,2018,46767,Petrol,automatic,grisverni,12,Professional,,,,,
60,PORSCHE,     911 TYPE 997,70080,2007,80613,Petrol,mechanic,grismetal,6,Professional,,,283.0,,
39,MERCEDES,     GLC,70050,2021,41140,Diesel,automatic,noirmetal,6,Professional,,,180.0,,
38,PEUGEOT,     207,7980,2013,100541,Petrol,mechanic,rouge,6,Professional,,,,,
9,RENAULT,     TWINGO 2,7890,2015,87103,Petrol,mechanic,rougemetal,6,Professional,,,55.0,,
4,CITROEN,     C3 (2E GENERATION),7890,2013,68428,Diesel,mechanic,inconnu,6,Professional,,,,,
60,PEUGEOT,     208,7860,2015,127212,Petrol,mechanic,blancbanquise,3,Professional,,,,,
30,PEUGEOT,     1007,7820,2007,77761,Petrol,automatic,gris,6,Professional,,,,,
60,TOYOTA,     COROLLA VERSO 2,7780,2009,174349,Diesel,mechanic,gris,6,Professional,,,,,
38,CITROEN,     C3 (2E GENERATION),7780,2013,158774,Diesel,mechanic,grisshark,3,Professional,,,,,
60,HYUNDAI,     I20,7730,2012,101884,Petrol,mechanic,noir,6,Professional,,,,,
6,ALFA,     ROMEO MITO,7700,2010,129564,Petrol,mechanic,gris,12,Professional,,,,,
23,DACIA,     DUSTER,7670,2012,204140,Diesel,mechanic,grisclair,3,Professional,,,,,
8,SEAT,     IBIZA 4,7620,2012,147060,Diesel,mechanic,noir,0,Professional,,,,,
11,RENAULT,     CLIO 3 ESTATE,7570,2010,112873,Petrol,mechanic,grisanthracite,12,Professional,,,,,
60,FORD,     TRANSIT CONNECT,7560,2011,140938,Diesel,mechanic,blanc,6,Professional,,,,,
24,RENAULT,     TWINGO 2,7520,2013,120640,Petrol,mechanic,bleumetal,6,Professional,,,55.0,,
13,MERCEDES,     CLASSE A 2,7480,2012,196125,Diesel,automatic,gris,3,Professional,,,,,
26,NISSAN,     JUKE,7480,2012,212830,Diesel,mechanic,gris,3,Professional,,,,,
60,PEUGEOT,     207 CC,7470,2009,142980,Petrol,mechanic,noir,6,Professional,,,,,
3,PEUGEOT,     308,7360,2009,184378,Petrol,automatic,grisanthracitemetal,3,Professional,,,88.0,,
60,VOLKSWAGEN,     UP!,7240,2014,120032,Petrol,mechanic,blanc,0,Professional,,,,,
14,PEUGEOT,     207 CC,7080,2013,175080,Petrol,mechanic,noirmetal,6,Professional,,,88.0,,
11,CITROEN,     C4 (2E GENERATION),7000,2012,142528,Petrol,mechanic,rouge,3,Professional,,,,,
32,TOYOTA,     AURIS,7000,2012,189058,Diesel,mechanic,anthracite,3,Professional,,,,,
8,PORSCHE,     MACAN,69870,2016,80938,Petrol,automatic,inconnu,6,Professional,,,,,
59,BMW,     Z4 G29,69850,2020,10452,Petrol,automatic,saphirschwarz,24,Professional,,,,,
60,BMW,     X3 G01,69590,2021,34684,Petrol-electric hybrid,automatic,carbonschwarz,24,Professional,yes,49.0,,354.0,34.0
60,VOLVO,     XC60 (2E GENERATION),69000,2021,12,Petrol-electric hybrid,automatic,osmiumgrey,0,Professional,yes,,,,
60,BMW,     SERIE 4 F82 M4,68910,2018,67678,Petrol,automatic,inconn,12,Professional,,,,,
4,BMW,     X4 G02,68580,2022,25530,Diesel,automatic,carbonschwarzmetalise,24,Professional,,,,,
55,BENTLEY,     CONTINENTAL GT,68440,2010,112320,Petrol,automatic,vertmetal,6,Professional,,,449.0,,
31,MERCEDES,     GLS,68380,2017,68384,Diesel,automatic,noir,3,Professional,,,,,
12,BMW,     X3 G01,68200,2020,20944,Diesel,automatic,saphirschwarz,24,Professional,,,,,
23,AUDI,     Q5 (2E GENERATION),68200,2021,29698,Petrol-electric hybrid,automatic,noirmythic,24,Professional,yes,,,381.0,
18,MERCEDES,     CLASSE C 5,68070,2022,10540,Diesel,automatic,grisselenite,24,Professional,,,,,
17,CUPRA,     FORMENTOR,67720,2021,9166,Petrol,automatic,bleu,24,Professional,,,,,
60,DS,      7 CROSSBACK,67260,2021,6148,Petrol-electric hybrid,automatic,grisplatinium(m),24,Professional,yes,55.0,,,
29,DS,      7 CROSSBACK,67240,2022,10144,Petrol-electric hybrid,automatic,noirperlanera(nacrã©e),24,Professional,yes,58.0,,,
24,LOTUS,     EVORA,67080,2013,53668,Petrol,mechanic,grisclair,12,Professional,,,,,
12,AUDI,     RS3 (2E GENERATION) SPORTBACK,66990,2019,35521,Petrol,automatic,blanc,12,Professional,,,,,
60,BMW,     SERIE 5 G31 TOURING,66900,2021,19680,Diesel,automatic,sophistograumetallise,0,Professional,,,,,
60,VOLVO,     XC60 (2E GENERATION),66320,2022,12626,Petrol-electric hybrid,automatic,blanccristal,24,Professional,yes,53.0,,,
49,LAND ROVER,     RANGE ROVER EVOQUE 2,66230,2020,47125,Diesel,automatic,rouge,26,Professional,no,,,46.0,
7,DS,      7 CROSSBACK,66120,2021,12500,Petrol-electric hybrid,automatic,grismetal,0,Professional,yes,55.0,165.0,,
3,BMW,     X5 F15,65960,2018,48391,Diesel,automatic,mineralweiss,24,Professional,,,,,
8,MERCEDES,     CLA 2 AMG,65880,2020,69600,Petrol,automatic,noir,12,Professional,,,,,
60,MERCEDES,     CLA AMG,65610,2020,16218,Petrol,automatic,gris,12,Professional,,,,,
16,ALFA,     ROMEO GIULIA 2,65530,2022,12,Petrol,automatic,noirvolcano,0,Professional,,,,,
12,AUDI,     Q5 (2E GENERATION),65520,2022,8960,Diesel,automatic,gris,24,Professional,,,,,
60,MERCEDES,     GLB,65500,2021,17808,Petrol,automatic,blancpolaire,24,Professional,,,,,
60,PORSCHE,     MACAN,64990,2019,47775,Petrol,automatic,noirverni,6,Professional,,,185.0,,
60,FORD,     MUSTANG 5 COUPE,64790,2014,39974,Petrol,mechanic,orangeverni,12,Professional,,,,,
19,MERCEDES,     GLC,64790,2021,24448,Petrol-electric hybrid,automatic,noir(noir),0,Professional,yes,44.0,,48.0,
5,PEUGEOT,     3008 (2E GENERATION),64560,2021,17220,Petrol-electric hybrid,automatic,blancnacrã©,12,Professional,yes,,,,
60,PEUGEOT,     3008 (2E GENERATION),64480,2021,105,Petrol-electric hybrid,automatic,blanc,24,Professional,yes,,,,
32,BMW,     X3 G01,64330,2020,60765,Diesel,automatic,grisanthracitemetal,12,Professional,,,195.0,,
60,FERRARI,     348,64280,1994,69440,Petrol,mechanic,rouge,0,Professional,,,,,
60,LAND ROVER,     RANGE ROVER VELAR,64270,2018,45885,Diesel,automatic,grisanthracitemetal,6,Professional,,,177.0,,
60,PORSCHE,     911 TYPE 997,64200,2009,94830,Petrol,mechanic,gris,6,Professional,,,,,
60,VOLVO,     XC60 (2E GENERATION),63600,2020,57963,Petrol-electric hybrid,automatic,noirmetal,12,Professional,yes,45.0,287.0,,
7,BMW,     SERIE 6 F06 GRAN COUPE M6,63580,2014,74330,Petrol,automatic,grisfoncã©metal,12,Professional,,,412.0,,
6,DS,      7 CROSSBACK,62700,2022,14063,Petrol-electric hybrid,automatic,grisplatinium,0,Professional,yes,58.0,,,
60,DODGE,     CHALLENGER 2,62370,2013,77125,Petrol,automatic,jauneverni,12,Professional,,,,,
60,MERCEDES,     CLASSE C 5,62160,2022,6720,Diesel,automatic,grissã©lã©nite,0,Professional,,,,,
9,FORD,     MUSTANG 5 COUPE,62130,2011,29128,Petrol,mechanic,bleumetal,6,Professional,,,,,
17,ALFA,     ROMEO STELVIO,61980,2022,6379,Diesel,automatic,grisstromboli,0,Professional,,,,,
55,CHEVROLET,     CAMARO 6,61950,2020,46545,Petrol,automatic,bleuverni,12,Professional,,,,,
6,DODGE,     RAM,61880,2018,117270,Petrol,automatic,gris,3,Professional,,,,,
60,MERCEDES,     CLASSE E 5,61860,2021,29129,Hybrid diesel-electric,automatic,noirobsidienne,24,Professional,yes,55.0,,,
39,MERCEDES,     CLASSE E 4 CABRIOLET,61820,2019,17542,Petrol,automatic,noirobsidienne,24,Professional,,,,,
60,ASTON MARTIN,     V8 VANTAGE,61480,2009,99647,Petrol,mechanic,noirmetal,6,Professional,,,283.0,,
5,DS,      9,61410,2022,34955,Petrol-electric hybrid,automatic,noir,24,Professional,yes,,165.0,,
60,MERCEDES,     GLC COUPE,61240,2018,79213,Diesel,automatic,blanc,12,Professional,,,,,
60,LAND ROVER,     RANGE ROVER SPORT 2,60970,2018,70729,Diesel,automatic,bleu,12,Professional,,,,,
3,PEUGEOT,     508 (2E GENERATION) PSE,60930,2022,2165,Petrol-electric hybrid,automatic,grisselen,0,Professional,yes,46.0,,300.0,39.0
31,TESLA,     MODEL 3,60870,2021,55671,Electric,automatic,blancnacrã©multicouchesmã©tallisã©,12,Professional,yes,,,350.0,208.0
60,MERCEDES,     CLA 2 SHOOTING BRAKE AMG,60830,2020,39100,Petrol,automatic,jauneverni,6,Professional,,,225.0,,
10,MERCEDES,     CLASSE C 4 SW,60730,2022,5375,Diesel,automatic,noir,0,Professional,,,,,
24,DS,      7 CROSSBACK,60400,2022,11,Petrol-electric hybrid,automatic,noir,0,Professional,yes,55.0,,300.0,44.0
6,VOLVO,     XC60 (2E GENERATION),60390,2022,13415,Petrol-electric hybrid,automatic,gristonnerre(gris),24,Professional,yes,,,,
60,AUDI,     A5 SPORTBACK (2E GENERATION),60370,2022,26813,Diesel,automatic,noir,24,Professional,,,,,
12,BMW,     X1 F48,60320,2022,13594,Diesel,automatic,blanc,0,Professional,,,,,
60,VOLVO,     XC60 (2E GENERATION),60300,2021,7743,Petrol-electric hybrid,automatic,noirmetal,12,Professional,yes,,250.0,,
60,VOLKSWAGEN,     TIGUAN 2,60250,2021,9717,Diesel,automatic,noirnacre,24,Professional,,,147.0,,
9,VOLKSWAGEN,     GOLF 8,60140,2022,62,Diesel,automatic,noirmetal,36,Professional,,,147.0,,
60,FORD,     MUSTANG 6 COUPE,60140,2018,39114,Petrol,mechanic,noirverni,12,Professional,,,310.0,,
34,NISSAN,     NAVARA,6940,2007,399110,Diesel,mechanic,noir,3,Professional,,,,,
60,CITROEN,     C3 (2E GENERATION),6810,2015,125680,Petrol,mechanic,grisshark,3,Professional,,,,,
10,AUDI,     TT,6320,2003,211894,Petrol,mechanic,bleumarinemetal,3,Professional,,,132.0,,
4,RENAULT,     SCENIC 3,6320,2011,155012,Diesel,mechanic,gris,6,Professional,,,,,
60,CITROEN,     C1 (2E GENERATION),6280,2017,82950,Petrol,mechanic,blanc,3,Professional,,,,,
23,PEUGEOT,     308,6090,2010,144300,Petrol,mechanic,rouge,3,Professional,,,,,
60,PEUGEOT,     207 SW,6030,2010,213189,Diesel,mechanic,gris,3,Professional,,,,,
60,BMW,     SERIE 5 G31 TOURING,59990,2021,34375,Diesel,automatic,carbonschwarz,24,Professional,,,,,
60,DS,      7 CROSSBACK,59980,2022,7375,Diesel,automatic,grisplatinium(m),24,Professional,,,,,
41,BMW,     SERIE 4 F82 M4,59860,2016,68280,Petrol,automatic,grisanthracitemetal,6,Professional,,,317.0,,
60,AUDI,     A5 (2E GENERATION) CABRIOLET,59640,2021,11294,Diesel,automatic,noir,24,Professional,,,,,
23,FORD,     MUSTANG 6 COUPE,59410,2020,10704,Petrol,mechanic,bleuf,6,Professional,,,,,
60,JEEP,     GRAND CHEROKEE 4,59380,2015,69913,Petrol,automatic,grisfoncã©metal,12,Professional,,,344.0,,
36,BMW,     X4 G02,59370,2020,22924,Petrol,automatic,blanc,12,Professional,,,,,
4,BMW,     X3 G01,59360,2018,54942,Diesel,automatic,blanc,12,Professional,,,,,
7,MINI,      3 JCW 3P,59290,2021,2310,Petrol,automatic,bleu,12,Professional,,,,,
60,PORSCHE,     911 TYPE 997,59290,2006,127440,Petrol,mechanic,rougemetal,6,Professional,,,283.0,,
60,ALFA,     ROMEO STELVIO,59260,2022,3420,Diesel,automatic,bleuadriatico,0,Professional,,,,,
60,PEUGEOT,     3008 (2E GENERATION),58910,2022,10947,Petrol-electric hybrid,automatic,grisclair,24,Professional,yes,59.0,,300.0,44.0
60,HYUNDAI,     SANTA FE 4,58880,2022,7052,Petrol-electric hybrid,automatic,lagoonblue,0,Professional,no,,,,
7,MERCEDES,     GLC AMG,58840,2019,94757,Petrol,automatic,bleumetal,12,Professional,,,270.0,,
60,BMW,     SERIE 1 F40,58810,2020,9879,Petrol,automatic,noir,6,Professional,,,,,
35,BMW,     SERIE 3 G20,58720,2022,6720,Petrol-electric hybrid,automatic,mineralgraumetallise,0,Professional,yes,60.0,150.0,354.0,34.0
60,SUZUKI,     ACROSS,58550,2022,1,Petrol-electric hybrid,automatic,gris,32,Professional,yes,75.0,225.0,355.0,50.9
60,BMW,     SERIE 3 G21 TOURING,58540,2021,9578,Diesel,automatic,noir,0,Professional,,,,,
60,OPEL,     GRANDLAND X,58490,2021,7502,Petrol-electric hybrid,automatic,gris,13,Professional,yes,69.0,221.0,300.0,
20,DS,      7 CROSSBACK,58380,2021,15210,Petrol-electric hybrid,automatic,blancnacre,0,Professional,yes,,221.0,,
48,LAND ROVER,     RANGE ROVER EVOQUE 2,58280,2020,41470,Diesel,automatic,rouge,26,Professional,no,,,46.0,
24,AUDI,     S4 AVANT (5E GENERATION),57980,2018,111845,Petrol,automatic,grisfoncã©metal,12,Professional,,,260.0,,
39,AUDI,     A6 (5E GENERATION) AVANT,57790,2020,76260,Diesel,automatic,blancopaque(vernisansreflet),6,Professional,,,170.0,,
60,LAND ROVER,     RANGE ROVER EVOQUE 2,57590,2020,46509,Diesel,automatic,blanc,12,Professional,,,,,
